frames,parents,incoming,override,round,candidate,ns_block
32,8,4,false,3,0,1196.391
32,8,4,false,4,0,1194.192
32,8,4,false,4,1,104.57166666666667
32,8,4,false,5,1,114.11073333333333
32,8,4,false,5,0,1215.8460666666667
32,8,4,false,6,0,1191.9596666666666
32,8,4,false,6,1,85.80633333333333
32,8,4,false,7,1,84.9517
32,8,4,false,7,0,1190.6086333333333
32,8,4,true,0,0,1243.7672666666667
32,8,4,true,0,1,85.0388
32,8,4,true,1,1,86.7374
32,8,4,true,1,0,1239.8426666666667
32,8,4,true,2,0,1264.6504666666667
32,8,4,true,2,1,87.72053333333334
32,8,4,true,3,1,86.51036666666667
32,8,4,true,3,0,1276.8776
32,8,4,true,4,0,1326.1914666666667
32,8,4,true,4,1,86.67596666666667
32,8,4,true,5,1,87.14033333333333
32,8,4,true,5,0,1352.4965666666667
32,8,4,true,6,0,1294.0392
32,8,4,true,6,1,85.39366666666666
32,8,4,true,7,1,86.68396666666666
32,8,4,true,7,0,1254.9675333333332
32,16,1,false,0,0,705.104
32,16,1,false,0,1,37.65186666666666
32,16,1,false,1,1,47.81726666666667
32,16,1,false,1,0,706.4574333333334
32,16,1,false,2,0,758.2029333333334
32,16,1,false,2,1,38.7342
32,16,1,false,3,1,38.2645
32,16,1,false,3,0,710.2848333333334
32,16,1,false,4,0,711.0587333333333
32,16,1,false,4,1,36.786566666666666
32,16,1,false,5,1,37.55876666666666
32,16,1,false,5,0,745.4813666666666
32,16,1,false,6,0,762.1001666666667
32,16,1,false,6,1,39.33443333333334
32,16,1,false,7,1,37.44156666666667
32,16,1,false,7,0,700.6369666666667
32,16,1,true,0,0,720.7423333333334
32,16,1,true,0,1,38.6968
32,16,1,true,1,1,37.952333333333335
32,16,1,true,1,0,720.0523
32,16,1,true,2,0,716.7342666666667
32,16,1,true,2,1,39.6282
32,16,1,true,3,1,39.3912
32,16,1,true,3,0,714.4398
32,16,1,true,4,0,755.7251666666667
32,16,1,true,4,1,38.44606666666667
32,16,1,true,5,1,38.388
32,16,1,true,5,0,731.0419
32,16,1,true,6,0,719.7808666666666
32,16,1,true,6,1,39.48433333333333
32,16,1,true,7,1,40.08656666666667
32,16,1,true,7,0,717.3919333333333
32,16,4,false,0,0,2798.1118
32,16,4,false,0,1,146.96406666666667
32,16,4,false,1,1,148.479
32,16,4,false,1,0,2857.4781666666668
32,16,4,false,2,0,2918.1815333333334
32,16,4,false,2,1,147.65276666666668
32,16,4,false,3,1,149.85606666666666
32,16,4,false,3,0,2842.9482
32,16,4,false,4,0,2851.5178
32,16,4,false,4,1,147.2385
32,16,4,false,5,1,150.98246666666665
32,16,4,false,5,0,2927.8067333333333
32,16,4,false,6,0,3287.8437
32,16,4,false,6,1,153.04723333333334
32,16,4,false,7,1,257.7033666666667
32,16,4,false,7,0,2945.452366666667
32,16,4,true,0,0,3019.8992333333335
32,16,4,true,0,1,152.3295
32,16,4,true,1,1,147.91616666666667
32,16,4,true,1,0,3018.6082666666666
32,16,4,true,2,0,3097.105233333333
32,16,4,true,2,1,150.25303333333332
32,16,4,true,3,1,155.86686666666665
32,16,4,true,3,0,2870.4511
32,16,4,true,4,0,2875.0533666666665
32,16,4,true,4,1,146.20923333333334
32,16,4,true,5,1,146.83286666666666
32,16,4,true,5,0,2875.2326333333335
32,16,4,true,6,0,2867.872533333333
32,16,4,true,6,1,151.6084
32,16,4,true,7,1,147.94823333333332
32,16,4,true,7,0,2981.1607
128,0,1,false,0,0,169.03473333333332
128,0,1,false,0,1,20.437866666666668
128,0,1,false,1,1,19.5085
128,0,1,false,1,0,167.24606666666668
128,0,1,false,2,0,164.89746666666667
128,0,1,false,2,1,22.888233333333332
128,0,1,false,3,1,22.01493333333333
128,0,1,false,3,0,167.71576666666667
128,0,1,false,4,0,162.5202
128,0,1,false,4,1,21.584966666666666
128,0,1,false,5,1,19.532833333333333
128,0,1,false,5,0,162.56763333333333
128,0,1,false,6,0,163.16116666666667
128,0,1,false,6,1,21.7145
128,0,1,false,7,1,21.95916666666667
128,0,1,false,7,0,162.2091
128,0,1,true,0,0,30.959466666666668
128,0,1,true,0,1,30.283766666666665
128,0,1,true,1,1,29.969266666666666
128,0,1,true,1,0,31.0399
128,0,1,true,2,0,30.856266666666667
128,0,1,true,2,1,29.891833333333334
128,0,1,true,3,1,36.52386666666666
128,0,1,true,3,0,31.035233333333334
128,0,1,true,4,0,62.5001
128,0,1,true,4,1,32.47506666666666
128,0,1,true,5,1,39.32573333333333
128,0,1,true,5,0,33.5407
128,0,1,true,6,0,39.925666666666665
128,0,1,true,6,1,34.826966666666664
128,0,1,true,7,1,30.146533333333334
128,0,1,true,7,0,30.315133333333332
128,0,4,false,0,0,688.5917666666667
128,0,4,false,0,1,59.22116666666667
128,0,4,false,1,1,56.605866666666664
128,0,4,false,1,0,678.6464
128,0,4,false,2,0,729.8884666666667
128,0,4,false,2,1,57.495866666666664
128,0,4,false,3,1,58.9494
128,0,4,false,3,0,668.2714
128,0,4,false,4,0,687.5067666666666
128,0,4,false,4,1,60.84863333333333
128,0,4,false,5,1,60.737433333333335
128,0,4,false,5,0,733.7329333333333
128,0,4,false,6,0,723.1329666666667
128,0,4,false,6,1,57.466166666666666
128,0,4,false,7,1,61.12703333333334
128,0,4,false,7,0,726.9881
128,0,4,true,0,0,596.1587666666667
128,0,4,true,0,1,70.40303333333334
128,0,4,true,1,1,69.51003333333334
128,0,4,true,1,0,600.5610666666666
128,0,4,true,2,0,591.9260666666667
128,0,4,true,2,1,68.5122
128,0,4,true,3,1,69.1351
128,0,4,true,3,0,600.1891666666667
128,0,4,true,4,0,600.9630333333333
128,0,4,true,4,1,70.34193333333333
128,0,4,true,5,1,69.492
128,0,4,true,5,0,594.9599333333333
128,0,4,true,6,0,606.3261
128,0,4,true,6,1,68.08156666666666
128,0,4,true,7,1,96.99356666666667
128,0,4,true,7,0,621.0346666666667
128,1,1,false,0,0,258.1033
128,1,1,false,0,1,21.550233333333335
128,1,1,false,1,1,22.51803333333333
128,1,1,false,1,0,259.1125
128,1,1,false,2,0,294.8718333333333
128,1,1,false,2,1,23.275166666666667
128,1,1,false,3,1,22.2987
128,1,1,false,3,0,254.35196666666667
128,1,1,false,4,0,254.47783333333334
128,1,1,false,4,1,20.646533333333334
128,1,1,false,5,1,26.4817
128,1,1,false,5,0,251.9901
128,1,1,false,6,0,259.32983333333334
128,1,1,false,6,1,21.980866666666667
128,1,1,false,7,1,21.0134
128,1,1,false,7,0,260.97996666666666
128,1,1,true,0,0,303.41813333333334
128,1,1,true,0,1,22.578133333333334
128,1,1,true,1,1,22.275
128,1,1,true,1,0,337.5854
128,1,1,true,2,0,305.12236666666666
