frames,parents,incoming,override,round,candidate,ns_block
32,1,4,false,0,1,43.58453333333333
32,1,4,false,1,1,43.52676666666667
32,1,4,false,1,0,236.50633333333334
32,1,4,false,2,0,228.9449
32,1,4,false,2,1,42.94423333333334
32,1,4,false,3,1,45.8062
32,1,4,false,3,0,232.08533333333332
32,1,4,false,4,0,239.76926666666665
32,1,4,false,4,1,43.89633333333333
32,1,4,false,5,1,44.3086
32,1,4,false,5,0,220.31953333333334
32,1,4,false,6,0,223.1575
32,1,4,false,6,1,44.0973
32,1,4,false,7,1,41.09376666666667
32,1,4,false,7,0,249.56073333333333
32,1,4,true,0,0,278.57823333333334
32,1,4,true,0,1,40.7362
32,1,4,true,1,1,40.0335
32,1,4,true,1,0,285.28833333333336
32,1,4,true,2,0,286.1233
32,1,4,true,2,1,44.4692
32,1,4,true,3,1,45.9848
32,1,4,true,3,0,273.72223333333335
32,1,4,true,4,0,281.4465666666667
32,1,4,true,4,1,46.2709
32,1,4,true,5,1,43.57653333333333
32,1,4,true,5,0,273.8627666666667
32,1,4,true,6,0,293.7064
32,1,4,true,6,1,45.0307
32,1,4,true,7,1,43.7618
32,1,4,true,7,0,284.06483333333335
32,2,1,false,0,0,83.93316666666666
32,2,1,false,0,1,15.6263
32,2,1,false,1,1,15.909033333333333
32,2,1,false,1,0,82.98803333333333
32,2,1,false,2,0,82.9884
32,2,1,false,2,1,15.5792
32,2,1,false,3,1,15.8269
32,2,1,false,3,0,86.0487
32,2,1,false,4,0,85.44073333333333
32,2,1,false,4,1,15.607566666666667
32,2,1,false,5,1,15.792833333333334
32,2,1,false,5,0,83.00706666666666
32,2,1,false,6,0,91.0963
32,2,1,false,6,1,15.791866666666667
32,2,1,false,7,1,15.577533333333333
32,2,1,false,7,0,83.9712
32,2,1,true,0,0,109.5171
32,2,1,true,0,1,16.179466666666666
32,2,1,true,1,1,16.1751
32,2,1,true,1,0,109.56986666666667
32,2,1,true,2,0,109.76986666666667
32,2,1,true,2,1,15.9057
32,2,1,true,3,1,15.529466666666666
32,2,1,true,3,0,115.61933333333333
32,2,1,true,4,0,112.86853333333333
32,2,1,true,4,1,15.245033333333334
32,2,1,true,5,1,14.777333333333333
32,2,1,true,5,0,118.1595
32,2,1,true,6,0,114.01393333333333
32,2,1,true,6,1,15.446
32,2,1,true,7,1,14.666166666666667
32,2,1,true,7,0,109.56753333333333
32,2,4,false,0,0,341.3821
32,2,4,false,0,1,55.937866666666665
32,2,4,false,1,1,60.1479
32,2,4,false,1,0,350.6965
32,2,4,false,2,0,341.94396666666665
32,2,4,false,2,1,58.3989
32,2,4,false,3,1,55.6768
32,2,4,false,3,0,354.8641333333333
32,2,4,false,4,0,336.5318
32,2,4,false,4,1,54.91996666666667
32,2,4,false,5,1,54.196866666666665
32,2,4,false,5,0,337.5193
32,2,4,false,6,0,332.80246666666665
32,2,4,false,6,1,60.29443333333333
32,2,4,false,7,1,55.79326666666667
32,2,4,false,7,0,332.5391
32,2,4,true,0,0,383.9107
32,2,4,true,0,1,54.632866666666665
32,2,4,true,1,1,53.46776666666667
32,2,4,true,1,0,394.8115
32,2,4,true,2,0,384.5523333333333
32,2,4,true,2,1,54.05
32,2,4,true,3,1,52.92196666666667
32,2,4,true,3,0,399.07093333333336
32,2,4,true,4,0,391.61466666666666
32,2,4,true,4,1,54.5207
32,2,4,true,5,1,59.1881
32,2,4,true,5,0,386.538
32,2,4,true,6,0,394.16586666666666
32,2,4,true,6,1,53.551566666666666
