carrier,modulator,depth,nested,convergence,baseline,local,central,adaa,adaa_gain_db,adaa_wanted_error_db,adaa_outside_reference_support_db
853.0,23.0,0.15,-0.8,-53.87268565382401,-7.716818483904101,-7.955242265309589,-7.969211711235942,-12.776998508524596,-0.9228352673870076,-15.292150438429564,-16.346251879248427
853.0,193.0,0.0,0.0,-54.064803447489524,-7.573273213884542,-7.573273213884542,-7.573273213884542,-13.829383882555478,-0.9950635496905342,-17.54013144963479,-16.23667375113067
853.0,193.0,0.02,0.0,-54.01443464888366,-7.573376499343408,-7.571811008430725,-7.571846797358953,-13.82000912422778,-0.9955082303863545,-17.53080900689086,-16.227260241995857
853.0,193.0,0.15,0.0,-53.960058285240535,-7.613635750947104,-7.746869635971785,-7.749274044914093,-13.024315950350962,-0.964187427902989,-17.675776381726322,-14.846366066007784
853.0,193.0,0.5,0.0,-53.633115819013256,-7.015494647773602,-7.880473871884774,-7.9186086094528445,-13.17728266852038,-0.8690254388256008,-18.003738961606025,-14.910834690553713
853.0,193.0,0.15,0.5,-53.81675911043296,-6.452582963564107,-6.684732522246909,-7.634183146578296,-11.38320337258493,-0.9703426736118893,-11.449778042356268,-29.561201088733675
853.0,193.0,0.5,0.5,-49.34900529870133,-3.9560116724293253,-3.506617658054641,-5.72395095412349,-4.637456926028529,-2.074491911310269,-4.637459534810462,-66.85092356185606
853.0,193.0,1.0,1.25,-37.41231078683694,2.918087046238914,0.7838613445502307,2.585867910721558,2.4935406922750265,-12.104130882326258,2.479055761999448,-22.282378782577883
853.0,193.0,0.15,-0.8,-53.852565432818764,-7.612090220233392,-8.038891767645506,-8.07499666107121,-12.449657152082597,-0.912525185498513,-14.876384103801803,-16.134301171241315
853.0,701.0,0.0,0.0,-54.064803447489524,-7.573273213884542,-7.573273213884542,-7.573273213884542,-13.829383882555478,-0.9950635496905342,-17.54013144963479,-16.23667375113067
853.0,701.0,0.02,0.0,-54.02426023631466,-7.53899929640812,-7.567580250019576,-7.572785221022377,-13.816217996991572,-0.9943915349043915,-17.518267386326226,-16.229962031966355
853.0,701.0,0.15,0.0,-53.93693323741472,-6.696741658500061,-7.523594927825222,-7.973739795764291,-12.720043701223869,-0.8475123293716013,-17.088890472508147,-14.697041024268957
853.0,701.0,0.5,0.0,-49.57212102569671,-3.3480001476424754,-4.146521930732629,-7.465675974292683,-5.241528727506834,-1.4288979206488028,-5.498531966366947,-17.64785381622271
853.0,701.0,0.15,0.5,-53.23998617878723,-6.257779102632005,-5.989997865975364,-7.31705404888441,-9.863563099639716,-0.9526159609346496,-9.868851237030547,-39.01102271297531
853.0,701.0,0.5,0.5,-48.56670247539684,-3.3880055491885575,-3.5151639889351345,-3.9779375355377105,-3.5028980901681313,-2.584503893955464,-3.5033365191893266,-43.46196747640016
